id,county,latitude,longitude,wellDepth,LandSurfaceElevation,WaterElevation,Saturated Thickness,DepthFromLSD,Month,Day,Year
2309601,Lubbock,33.8225000,-101.9155556,160,3330,3183.88,-17.7199999999998,146.1199999999999,2,20,2015
2309701,Lubbock,33.7661120,-101.9633340,200,3354,3182.41,-13.390000000000327,171.59000000000015,12,8,2010
2310413,Lubbock,33.7927780,-101.8475000,235,3343,3151.47,-4.130000000000109,191.5300000000002,2,3,2016
2310502,Lubbock,33.7983340,-101.8147230,300,3334,3126.58,87.57999999999993,207.42000000000007,1,27,2016
2310703,Lubbock,33.7725000,-101.8536120,200,3328,3150.64,8.639999999999873,177.36000000000013,1,27,2016
2311501,Lubbock,33.8108340,-101.6822220,355,3282,3077.13,61.93000000000029,204.8699999999999,2,5,2004
2311502,Lubbock,33.8127780,-101.6902780,300,3294,3072.1,105,221.9000000000001,12,26,2014
2311601,Lubbock,33.7986111,-101.6361111,342,3260,3075.66,121.55999999999995,184.34000000000015,1,15,2015
2311702,Lubbock,33.7816670,-101.7483340,300,3289,3053.04,91.63999999999987,235.96000000000004,12,26,2014
2311801,Lubbock,33.7663890,-101.7058340,350,3265,3026.06,106.36000000000013,238.94000000000005,12,26,2014
2311904,Lubbock,33.7644450,-101.6308330,291,3235,3025.76,137.0600000000004,209.23999999999978,12,22,2014
2312401,Lubbock,33.7955560,-101.6125010,365,3252,3036.49,112.98999999999978,215.51000000000022,2,2,2016
2312803,Lubbock,33.7511120,-101.5650010,278,3201,2962.67,121.26999999999998,238.32999999999993,1,4,2016
2317104,Lubbock,33.7188890,-101.9830550,171,3324,3183.67,22.070000000000164,140.32999999999993,1,21,2016
2317202,Lubbock,33.7338890,-101.9397220,220,3337,3149.92,-26.980000000000018,187.07999999999993,12,9,2014
2317205,Lubbock,33.7086120,-101.9225000,167,3305,3138.7,-1.300000000000182,166.30000000000018,3,2,2016
2317406,Lubbock,33.6711110,-101.9619450,140,3264,3173.78,46.98000000000002,90.2199999999998,12,23,2014
2317501,Lubbock,33.6916670,-101.9197220,170,3307,3172.43,30.029999999999745,134.57000000000016,2,6,1995
2317506,Lubbock,33.6791670,-101.9250000,148,3276,3157.9,19.90000000000009,118.09999999999991,12,9,2014
2317601,Lubbock,33.6766670,-101.8888890,159,3272,3141,23.90000000000009,131.0,12,26,2014
2317712,Lubbock,33.6363890,-101.9600010,175,3267,3167,45.5,100.0,8,6,1999
2317801,Lubbock,33.6313890,-101.9575010,120,3266,3175.58,75.57999999999993,90.42000000000007,2,4,2004
2318109,Lubbock,33.7330550,-101.8361110,189,3298,3123.5,4.599999999999909,174.5,1,4,2016
2318301,Lubbock,33.7383340,-101.7836110,344,3290,3065.28,103.98000000000002,224.7199999999998,2,14,2008
2318409,Lubbock,33.6994450,-101.8452780,194,3282,3114.55,-5.549999999999727,167.44999999999982,12,23,2014
2318502,Lubbock,33.6786110,-101.8002780,184,3261,3113.02,6.820000000000164,147.98000000000002,1,14,2003
2318506,Lubbock,33.6869450,-101.8066670,177,3272,3109.28,13.580000000000382,162.7199999999998,12,23,2014
2318701,Lubbock,33.6538890,-101.8400000,160,3233,3136,56.40000000000009,97.0,1,16,1999
2318703,Lubbock,33.6288890,-101.8458340,140,3239,3152.26,55.26000000000022,86.73999999999978,1,15,2015
2318712,Lubbock,33.6547230,-101.8383340,198,3235,3138.93,59.32999999999993,96.07000000000016,1,4,2016
2318802,Lubbock,33.6461110,-101.7927780,212,3220,3112.13,91.13000000000011,107.86999999999989,2,3,2016
2319101,Lubbock,33.7086120,-101.7488890,243,3248,3046.31,88.00999999999976,201.69000000000005,1,31,2000
2319304,Lubbock,33.7366667,-101.6538889,300,3241,2997,89,244.0,1,16,2015
2319501,Lubbock,33.7038890,-101.6772220,300,3220,2988.9,88.80000000000018,231.0999999999999,12,22,2014
2319601,Lubbock,33.6772220,-101.6394450,357,3202,2966.64,96.53999999999996,235.36000000000013,1,16,2015
2319704,Lubbock,33.6497220,-101.7408340,239,3189,3061.58,111.07999999999993,127.42000000000007,1,15,2003
2319707,Lubbock,33.6652780,-101.7383340,245,3204,3041.21,81.21000000000004,162.78999999999996,2,3,2016
2319804,Lubbock,33.6347220,-101.6944450,245,3164,3043.28,96.38000000000011,120.7199999999998,1,26,1996
2320401,Lubbock,33.7075010,-101.5950000,335,3202,2968.36,119.96000000000004,233.63999999999987,1,4,2016
2320701,Lubbock,33.6525000,-101.6250000,262,3172,2954.16,92.25999999999976,217.84000000000015,2,9,2015
2320805,Lubbock,33.6650010,-101.5786110,324,3180,2946.42,86.51999999999998,233.57999999999993,12,22,2014
